"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"US",41.9,45.1,47.6,50.9,54.9,57.9,59.7,60.4,60.4,58.1,53.5,54.5,53.5,53.8,55.5,54.3,53.2,49.3,46.1,49.0,47.3,44.4,47.2,49.3,52.4,52.5,53.6,55.3,57.0,58.2,60.8,61.8,62.3,60.9,61.4,63.8,60.9,63.0,61.0,61.2,60.9,60.0
"CA",2.2,2.4,2.6,2.8,3.2,3.5,3.8,4.2,4.5,4.5,4.7,4.7,5.0,5.0,5.1,5.0,4.9,5.2,5.0,5.5,5.6,5.6,5.5,6.0,6.6,6.5,6.5,6.9,7.4,7.6,7.8,8.2,8.1,8.2,8.0,8.0,8.0,8.3,8.9,8.9,8.8,9.3
"MX",0.8,0.9,0.8,0.8,1.1,1.0,1.0,1.1,1.3,1.3,1.5,1.4,1.5,1.7,2.3,2.5,2.6,2.8,2.8,2.7,2.6,2.5,2.6,2.5,2.5,2.6,2.7,2.8,2.6,2.6,2.7,2.8,3.1,3.4,3.6,3.7,3.8,4.1,4.4,4.7,4.6,5.2
"BP_01",44.9,48.4,51.0,54.6,59.2,62.5,64.5,65.7,66.2,64.0,59.7,60.6,59.9,60.4,62.8,61.8,60.7,57.3,53.9,57.2,55.6,52.6,55.2,57.8,61.5,61.6,62.9,65.0,67.0,68.4,71.3,72.8,73.5,72.6,73.0,75.5,72.7,75.4,74.4,74.8,74.4,74.5
"AR",0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.7,2.0,2.1,2.0,2.0,2.2,2.3,2.3,2.6,3.0,2.8,3.0,3.1,3.2,3.0,2.9,3.3,3.7,3.9,4.0
"BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.1,1.4,1.5,1.8,1.9,2.0
"CL",0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.7
"CO",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7
"EC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2
"VE",0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.9,0.9,0.9,1.1,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.7,1.7,1.8,1.8,1.8,1.9,2.1,2.1,2.1,2.3,2.4,2.7,2.9,3.0,3.1,2.7,2.7,2.9,2.7,2.4,2.7,2.8,2.8
"BP_02",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,1.0,1.1,1.1,1.3,1.4,1.5,1.6,1.9,2.1
"BP_03",1.4,1.5,1.6,1.7,1.7,1.7,1.8,1.9,2.1,2.3,2.2,2.6,2.9,3.0,3.2,3.4,3.5,3.9,4.0,4.3,4.4,4.8,4.8,5.3,5.5,5.7,5.7,5.9,6.2,6.5,7.1,7.9,8.0,8.6,8.6,9.1,9.6,9.7,10.2,11.3,12.2,12.6
"AT",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.0,0.9
"AZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.3,1.5,1.4,1.4,1.5,1.5,1.5,1.1,0.8,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.9,0.9
"BY","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.9,0.9,1.0,1.2,1.3,1.3,1.4,1.6,1.5,1.3,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.8,1.8,1.9
"BP_20",0.0,0.0,0.1,0.1,0.3,0.4,0.6,0.7,0.9,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.0,0.8,0.9,0.9,0.9,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.1,1.0,1.1,1.3,1.2,1.3,1.4,1.4,1.4,1.4,1.6,1.6,1.6,1.6
"BG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"CZ",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"FR",0.5,0.6,0.6,0.8,0.9,1.0,1.2,1.4,1.7,1.8,1.8,2.0,2.2,2.2,2.5,2.5,2.6,2.6,2.4,2.5,2.5,2.6,2.7,2.5,2.6,2.8,3.0,3.0,3.1,3.0,3.2,3.5,3.3,3.6,3.6,3.8,4.0,4.0,4.2,4.3,4.4,4.4
"DE",0.3,0.3,0.4,0.7,1.0,1.5,1.9,2.5,3.2,4.0,4.2,4.5,4.8,5.1,5.6,5.5,5.3,4.9,5.1,5.3,5.3,5.3,5.7,5.6,5.8,5.8,6.1,6.1,6.4,6.6,7.2,8.1,7.7,7.7,7.8,7.7,8.0,8.0,8.3,8.3,8.3,8.4
"GR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"HU",0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.0,0.9,1.0,0.9,0.9,0.8,0.9,0.9,1.0,1.1,1.0,1.1,1.1,1.0,1.2,1.1,1.2,1.2,1.3,1.2
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"IT",0.8,0.9,0.9,1.0,1.2,1.3,1.3,1.3,1.5,1.7,1.9,2.4,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.8,2.9,3.1,3.5,3.7,4.0,4.2,4.5,4.4,4.5,4.4,4.8,5.0,5.1,5.5,6.0,6.3,6.3,6.2,6.9,7.1,7.6,7.5
"KZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.8,1.0,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.0,1.0,0.9,0.7,0.7,0.8,0.9,1.0,1.1,1.3,1.5,1.9,2.0
"LT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"NL",0.2,0.3,0.6,1.0,1.4,2.1,2.6,3.1,3.5,3.5,3.6,3.5,3.6,3.5,3.6,3.2,3.2,3.3,3.2,3.3,3.5,3.5,3.6,3.3,3.4,3.3,3.7,3.5,3.7,3.6,3.7,4.0,3.8,3.7,3.7,3.8,3.8,3.8,3.9,4.0,3.8,3.7
"NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"PL",0.2,0.2,0.2,0.3,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.3,1.3,1.3
"PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4
"RO",1.5,1.6,1.8,1.9,2.2,2.2,2.4,2.4,2.6,2.7,2.9,3.2,3.4,3.5,3.4,3.5,3.7,3.7,3.7,3.7,3.4,3.5,3.4,3.4,3.4,3.0,2.4,2.4,2.4,2.3,2.3,2.3,1.9,1.8,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.6
"RU","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",34.9,35.4,37.4,39.4,40.0,40.7,41.7,40.3,40.3,37.8,36.6,36.7,33.9,35.3,35.2,36.4,36.1,37.6,38.0,38.8,39.2,41.8
"SK",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.5
"ES",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1.2,1.3,1.5,1.6,1.8,2.0,2.3,2.6,3.1,3.2
"SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"CH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"TR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.0,1.2,1.4,1.6,1.7,2.0,2.1,2.6,3.0
