"THOUSAND BARRELS DAILY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"US",9014.0,9579.0,10219.0,10600.0,10828.0,11297.0,11156.0,11185.0,10946.0,10461.0,10008.0,9736.0,9863.0,10274.0,10136.0,10170.0,10181.0,10199.0,10247.0,10509.0,10580.0,10231.0,9944.0,9765.0,9159.0,8914.0,9076.0,8868.0,8583.0,8389.0,8322.0,8295.0,8269.0,8011.0,7731.0,7733.0,7669.0,7626.0,7400.0,7228.0,6895.0,6871.0
"CA",920.0,1012.0,1106.0,1194.0,1306.0,1473.0,1582.0,1829.0,2114.0,1993.0,1735.0,1598.0,1608.0,1597.0,1835.0,1764.0,1610.0,1590.0,1661.0,1775.0,1812.0,1803.0,1907.0,2000.0,1958.0,1965.0,1980.0,2062.0,2184.0,2276.0,2402.0,2480.0,2588.0,2672.0,2604.0,2721.0,2677.0,2858.0,3004.0,3084.5,3040.7,3146.5
"MX",362.0,370.0,411.0,439.0,461.0,487.0,486.0,506.0,525.0,653.0,806.0,894.0,1085.0,1327.0,1607.0,2129.0,2553.0,3001.0,2930.0,2942.0,2912.0,2758.0,2879.0,2877.0,2897.0,2977.0,3126.0,3120.0,3132.0,3142.0,3065.0,3277.0,3410.0,3499.0,3343.0,3450.0,3560.0,3585.0,3789.0,3824.4,3759.7,3683.0
"MZM_01",10296.0,10961.0,11736.0,12233.0,12595.0,13257.0,13224.0,13520.0,13585.0,13107.0,12549.0,12228.0,12556.0,13198.0,13578.0,14063.0,14344.0,14790.0,14838.0,15226.0,15304.0,14792.0,14730.0,14642.0,14014.0,13856.0,14182.0,14050.0,13899.0,13807.0,13789.0,14052.0,14267.0,14182.0,13678.0,13904.0,13906.0,14069.0,14193.0,14136.9,13695.4,13700.5
"AR",275.7,292.9,318.6,348.2,361.5,399.5,431.5,444.1,433.6,423.4,406.1,408.0,441.7,466.2,487.3,505.7,518.9,517.1,520.2,509.0,490.8,465.4,459.4,481.2,492.3,517.4,525.6,586.9,629.9,695.5,757.9,822.8,877.4,889.9,847.4,818.7,830.0,817.5,805.5,754.4,725.3,715.6
"BR",96.0,117.0,147.0,161.0,176.0,167.0,175.0,171.0,174.0,181.0,178.0,173.0,167.0,166.0,172.0,188.0,220.0,268.0,340.0,473.0,560.0,591.0,589.0,573.0,613.0,650.0,643.0,652.0,664.0,693.0,718.0,807.0,868.0,1003.0,1133.0,1268.0,1337.0,1499.0,1555.0,1542.0,1715.4,1808.8
"CO",203.0,199.0,192.0,176.0,214.0,226.0,224.0,203.0,192.0,175.0,164.0,153.0,144.0,137.0,129.0,131.0,140.0,147.0,158.0,173.0,183.0,307.0,388.0,380.0,407.0,446.0,430.0,442.0,458.0,460.0,591.0,635.0,667.0,775.0,838.0,711.0,627.0,601.0,564.0,551.3,554.2,558.3
"EC",8.0,7.0,6.0,5.0,4.0,4.0,4.0,78.0,209.0,177.0,161.0,188.0,184.0,204.0,216.0,206.0,213.0,213.0,240.0,261.0,286.0,298.0,176.0,309.0,286.0,292.0,307.0,328.0,353.0,388.0,395.0,393.0,397.0,385.0,383.0,409.0,416.0,401.0,427.0,535.0,541.0,545.0
"PE",66.0,66.0,74.0,77.0,75.0,75.0,64.0,67.0,73.0,79.0,73.0,77.0,92.0,152.0,193.0,196.0,194.0,196.0,171.0,185.0,189.0,179.0,165.0,142.0,131.0,130.0,116.0,117.0,127.0,128.0,123.0,121.0,120.0,116.0,107.0,100.0,98.0,98.0,92.0,93.9,111.5,115.6
"TT",135.0,153.0,179.0,191.0,157.0,140.0,129.0,141.0,166.0,187.0,216.0,212.0,229.0,230.0,214.0,212.0,189.0,177.0,160.0,170.0,176.0,169.0,155.0,151.0,149.0,150.0,149.0,144.0,134.0,141.0,142.0,141.0,135.0,134.0,141.0,138.0,135.0,155.0,164.0,152.0,171.0,173.6
"VE",3503.0,3402.0,3576.0,3639.0,3631.0,3754.0,3615.0,3301.0,3455.0,3060.0,2422.0,2371.0,2314.0,2227.0,2425.0,2228.0,2163.0,1954.0,1852.0,1853.0,1744.0,1886.0,1910.0,1998.0,2012.0,2244.0,2501.0,2499.0,2592.0,2752.0,2959.0,3137.0,3321.0,3480.0,3126.0,3239.0,3142.0,2895.0,2554.0,2907.0,2937.0,2824.0
"MZM_02",47.1,54.4,78.2,84.6,83.8,63.9,80.4,89.2,89.7,85.6,77.9,77.6,68.0,65.9,66.3,80.1,87.1,99.4,97.9,94.7,91.2,88.8,85.6,77.1,76.2,77.3,77.2,76.0,82.5,89.5,96.4,101.8,107.6,124.9,123.5,129.6,137.2,152.4,152.6,144.4,142.2,139.7
"MZM_03",4333.8,4291.3,4570.8,4681.7,4702.3,4829.4,4722.9,4494.4,4792.4,4368.0,3698.0,3659.7,3639.7,3648.1,3902.5,3746.8,3725.0,3571.5,3539.1,3718.7,3720.0,3984.2,3928.1,4111.3,4166.5,4506.7,4748.8,4844.9,5040.4,5347.0,5782.3,6158.6,6493.0,6907.9,6699.0,6813.3,6722.2,6619.0,6314.1,6680.0,6897.4,6880.5
"AZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",273.5,268.4,285.7,280.0,268.2,254.3,239.7,227.5,207.4,193.4,185.1,183.3,182.3,230.7,278.7,282.3,301.3,310.8,313.4,315.0,452.0,654.1
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,4.0,10.0,8.0,8.0,6.0,15.0,34.0,43.0,47.0,60.0,74.0,93.0,96.0,112.0,121.0,142.0,157.0,168.0,185.0,186.0,208.0,230.0,238.0,299.0,363.0,348.0,371.0,368.0,390.0,377.0,342.0
"IT",44.3,36.3,34.0,32.2,31.6,29.7,26.5,23.7,21.7,21.8,25.2,26.5,25.4,29.2,33.7,32.9,28.8,34.1,43.3,43.8,46.0,49.3,75.7,92.8,88.5,89.8,83.3,86.3,89.2,94.0,100.7,104.5,114.3,108.0,96.4,88.0,79.5,106.4,107.1,104.9,117.4,110.9
"KZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",465.6,483.6,503.7,525.5,536.5,551.2,568.5,549.3,489.7,430.0,434.1,474.1,535.7,537.0,631.5,744.0,836.1,1017.6,1111.2,1296.6,1355.7,1425.9
"NO",0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,32.0,35.0,189.0,279.0,287.0,356.0,407.0,528.0,512.0,532.0,661.0,752.0,823.0,907.0,1054.0,1196.0,1567.0,1716.0,1955.0,2217.0,2377.0,2693.0,2903.0,3232.0,3280.0,3138.0,3139.0,3346.0,3418.0,3333.0,3264.0,3188.1,2968.6,2778.2
"RO",265.8,271.0,278.8,279.7,281.1,283.8,292.3,298.4,303.9,308.0,311.3,312.7,312.5,293.5,264.7,250.1,253.5,255.6,252.5,248.9,235.6,223.4,210.6,205.4,201.6,169.0,145.9,141.8,144.3,145.4,144.9,142.4,140.7,136.8,133.1,130.9,130.1,127.0,123.1,119.0,113.6,104.6
"RU","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10904.1,11305.5,11483.7,11444.0,11134.5,10404.6,9326.3,8038.2,7172.7,6419.1,6288.2,6113.8,6226.9,6168.5,6177.9,6536.0,7056.1,7698.2,8544.2,9287.1,9552.0,9769.3
"TM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",142.2,137.6,135.4,120.1,121.0,119.5,113.1,108.8,91.6,86.6,83.9,89.7,108.4,128.6,142.6,144.3,162.1,182.0,202.0,193.2,192.5,163.3
"GB",1.7,1.6,1.8,1.7,1.8,3.5,4.9,7.8,8.8,9.7,33.7,252.5,792.5,1118.6,1610.8,1663.2,1853.3,2150.2,2403.8,2632.2,2675.3,2671.1,2593.0,2396.0,1928.9,1918.3,1919.3,1981.3,2119.4,2674.9,2749.1,2735.1,2701.7,2807.5,2909.0,2666.7,2476.3,2463.0,2256.9,2027.6,1809.2,1635.9
"UZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",54.6,60.6,64.3,60.4,66.5,69.0,68.7,79.4,93.6,124.3,172.3,173.5,181.5,191.5,190.9,176.7,170.9,170.6,166.0,152.5,126.1,124.9
"MZM_04",5336.5,5797.0,6277.4,6693.2,7104.6,7663.1,8127.6,8576.0,9180.5,9786.9,10429.7,10965.7,11497.4,12026.1,12319.3,12605.5,12735.3,12827.3,12937.9,12832.7,758.4,762.3,739.6,716.9,695.4,686.1,683.7,645.6,600.4,608.3,575.1,546.2,524.3,506.0,474.4,465.5,465.5,501.3,508.7,496.3,468.9,453.5
"MZM_05",5648.3,6105.9,6592.1,7006.9,7419.0,7980.1,8457.4,8940.9,9550.0,10163.4,10991.9,11840.4,12924.8,13831.3,14643.4,15085.7,15397.9,15833.2,16341.5,16556.7,16438.5,16942.9,17238.8,17133.1,16720.2,16098.8,15245.5,14232.1,13553.3,13654.0,13822.3,14002.6,14225.7,14190.5,14472.6,14943.4,15443.8,16280.8,16964.5,17570.4,17533.2,17562.5
"IR",1908.0,2132.0,2603.0,2840.0,3376.0,3847.7,4572.4,5059.0,5907.4,6060.3,5386.6,5918.2,5714.0,5302.1,3217.6,1479.0,1321.0,2396.9,2453.6,2042.5,2205.2,2054.2,2342.4,2349.5,2894.3,3270.2,3499.6,3523.0,3712.2,3730.0,3743.8,3758.6,3776.5,3854.7,3603.4,3817.9,3794.3,3543.3,4183.2,4248.4,4267.8,4343.2
"IQ",1313.0,1392.0,1228.0,1503.0,1521.0,1549.0,1694.0,1466.0,2018.0,1977.0,2270.6,2422.3,2358.1,2573.6,3488.6,2657.5,906.9,988.2,1105.7,1228.0,1425.3,1899.4,2391.3,2782.2,2838.3,2148.9,285.4,531.3,455.3,505.3,530.3,580.3,1165.8,2120.8,2609.8,2613.8,2523.1,2116.0,1344.0,2030.0,1833.0,1999.0
"KW",2371.0,2505.0,2522.0,2656.0,2819.0,3036.0,3253.0,3339.0,3080.0,2603.0,2132.0,2199.0,2024.0,2182.0,2623.0,1757.0,1187.0,862.0,1117.0,1229.0,1127.0,1210.0,1072.0,1286.0,1408.0,964.0,185.0,1077.0,1945.0,2085.0,2130.0,2129.0,2137.0,2232.0,2085.0,2206.0,2148.0,1995.0,2329.0,2482.0,2643.0,2704.0
"OM",0.0,0.0,57.0,241.0,327.0,332.0,294.0,282.0,293.0,290.0,341.0,367.0,340.0,314.0,295.0,285.0,330.0,338.0,391.0,419.0,502.0,564.0,588.0,625.0,651.0,695.0,716.0,748.0,785.0,819.0,868.0,897.0,909.0,905.0,911.0,959.0,961.0,900.0,824.0,756.0,779.0,743.0
"QA",233.0,291.0,324.0,340.0,356.0,363.0,430.0,482.0,570.0,518.0,437.0,487.0,435.0,484.0,506.0,475.5,421.1,344.5,315.6,353.0,315.2,355.1,314.9,360.4,403.4,433.8,419.6,495.3,460.3,451.4,460.9,568.0,719.4,747.3,797.0,855.0,854.3,783.4,916.7,990.4,1045.2,1132.5
"SA",2219.0,2615.0,2825.0,3081.0,3262.0,3851.0,4821.0,6070.0,7693.0,8618.0,7216.0,8762.0,9419.0,8554.0,9841.0,10270.0,10256.0,6961.0,4951.0,4534.0,3601.0,5208.0,4599.0,5720.0,5635.0,7105.0,8820.0,9098.0,8962.0,9084.0,9144.5,9298.9,9481.9,9501.8,8853.3,9490.8,9209.1,8928.3,10164.1,10638.0,11114.4,10858.7
"SY",0.0,0.0,0.0,21.0,53.0,85.0,106.0,117.0,111.0,129.0,192.0,201.0,183.0,179.0,167.0,158.0,164.0,155.0,161.0,162.0,159.4,200.6,230.9,268.2,340.6,406.7,472.0,514.4,566.1,563.3,596.3,586.2,577.2,576.2,578.8,548.3,581.4,547.5,527.5,494.7,458.3,417.5
"AE",282.0,360.0,382.0,498.0,599.0,762.0,1106.0,1300.0,1456.0,1631.0,1696.0,1937.0,1998.0,1829.0,1831.0,1745.0,1540.0,1375.0,1296.0,1283.0,1260.0,1594.0,1603.0,1620.0,2024.0,2283.0,2639.0,2510.0,2443.0,2482.0,2361.8,2437.5,2566.5,2642.5,2510.5,2625.5,2533.5,2323.5,2610.7,2655.7,2751.0,2969.0
"YE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,170.0,178.0,182.0,197.0,184.0,209.4,345.6,351.5,356.7,375.0,380.1,405.1,449.7,455.1,456.9,447.7,420.4,426.3,390.1
"MZM_06",61.0,65.8,73.0,78.0,78.0,78.5,76.2,70.9,68.7,67.8,61.7,58.7,58.5,55.5,51.4,55.4,54.3,52.2,50.2,50.2,50.2,50.5,51.7,52.7,52.5,51.6,53.4,54.2,53.2,52.1,52.2,50.1,50.1,49.1,48.1,48.1,47.1,48.1,48.1,48.1,34.5,32.1
"MZM_07",8387.0,9360.8,10014.0,11258.0,12391.0,13904.2,16352.6,18185.9,21197.1,21894.1,19732.9,22352.2,22529.6,21473.1,22020.6,18882.4,16180.3,13472.8,11841.1,11300.7,10645.4,13145.9,13219.1,15233.9,16425.2,17540.2,17286.8,18735.2,19591.3,20117.7,20239.2,20662.3,21758.4,23009.6,22402.1,23614.2,23106.9,21642.1,23394.9,24763.7,25352.4,25589.0
"DZ",577.4,738.6,852.0,932.9,976.9,1051.6,809.1,1089.1,1111.1,1035.6,1002.7,1109.1,1187.8,1270.2,1271.2,1138.7,1048.9,1064.8,1046.8,1137.4,1150.9,1198.2,1231.2,1254.5,1280.1,1347.5,1350.6,1323.4,1329.1,1323.8,1326.6,1385.8,1420.5,1460.6,1515.4,1578.0,1562.2,1680.0,1851.5,1945.8,2016.2,2005.1
"AO",13.3,12.8,10.9,15.2,49.9,102.8,116.1,142.9,166.0,173.4,158.2,153.1,143.4,131.3,146.2,150.4,145.3,130.1,178.4,204.0,232.5,282.7,355.4,451.9,459.7,474.6,497.7,549.7,503.7,556.7,632.9,716.0,741.0,730.8,745.1,746.1,742.0,905.4,862.0,975.7,1233.0,1408.9
"CM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.3,33.6,55.9,85.7,105.3,111.1,145.8,181.1,173.8,164.9,163.4,160.3,154.8,142.9,133.8,130.4,114.7,106.3,110.0,124.0,105.0,94.8,88.0,81.0,75.1,68.1,62.1,58.3,63.3
"TD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,167.8,173.4,153.2
"CG",1.4,1.2,1.0,0.8,0.0,0.0,0.0,6.5,40.6,47.6,34.7,40.6,31.8,47.1,53.6,61.3,79.5,88.3,104.1,116.5,115.2,115.4,122.5,136.1,154.4,155.7,156.2,167.1,185.0,185.5,179.8,200.4,224.7,263.8,266.3,254.2,233.8,230.7,214.8,216.5,245.9,262.3
"EG",126.0,121.7,108.6,166.4,239.2,319.1,290.8,208.0,164.9,145.0,228.3,322.2,406.5,490.7,509.3,580.1,628.0,650.8,711.8,815.9,882.0,806.5,907.5,868.8,878.0,897.1,895.7,906.0,940.7,921.4,923.5,893.8,872.5,856.7,827.5,781.2,758.4,751.3,749.1,720.7,696.1,677.6
"GQ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,17.0,62.0,85.0,96.0,117.0,173.0,215.0,247.0,343.0,356.0,358.0
"GA",25.3,29.0,69.0,92.7,100.7,108.6,116.1,125.9,152.1,204.3,226.6,226.2,225.6,212.3,196.2,177.7,153.2,156.1,157.6,174.4,172.8,166.1,154.8,177.6,204.8,270.2,294.6,288.6,304.9,337.2,355.6,364.5,364.4,337.4,340.0,327.1,300.9,294.9,240.3,234.7,234.3,232.3
"LY",1220.0,1508.0,1733.0,2599.0,3108.0,3357.0,2750.0,2248.0,2211.0,1558.0,1514.0,1972.0,2108.0,2023.0,2139.0,1862.0,1253.0,1176.0,1151.0,1022.0,1025.0,1064.0,1003.0,1051.0,1164.0,1424.0,1439.0,1473.0,1402.0,1431.0,1439.0,1452.0,1491.0,1480.0,1425.0,1475.0,1427.0,1375.0,1485.0,1624.0,1751.0,1835.0
"NG",274.0,418.0,319.0,141.0,540.0,1084.0,1531.0,1818.0,2056.0,2256.0,1785.0,2071.0,2098.0,1897.0,2306.0,2059.0,1440.0,1290.0,1236.0,1388.0,1499.0,1467.0,1353.0,1496.0,1775.0,1870.0,1960.0,2020.0,2024.0,1991.0,1998.0,2145.0,2316.0,2167.0,2066.0,2155.0,2274.0,2103.0,2263.0,2502.0,2580.0,2460.0
"SD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,9.0,12.0,63.0,174.0,211.0,233.0,255.0,325.0,355.0,397.0
"TN",0.0,16.2,47.2,67.0,78.1,87.5,86.6,83.6,81.7,87.2,97.1,78.0,90.7,104.2,116.6,118.2,113.9,108.4,116.6,115.1,113.9,110.6,106.0,103.9,105.0,96.1,110.2,110.1,99.0,93.1,90.4,89.3,81.1,83.0,83.9,77.7,71.4,74.8,68.0,71.6,74.0,68.8
"MZM_08",2.1,2.1,2.1,1.8,1.2,0.9,0.0,0.6,0.9,0.5,0.0,25.2,23.5,18.5,21.4,21.6,33.4,44.0,51.9,59.5,60.3,58.9,53.9,47.7,35.6,35.1,33.0,29.4,35.9,42.4,50.9,61.8,64.2,62.7,56.0,56.5,52.7,62.7,70.9,74.6,72.3,68.3
"MZM_09",2239.5,2847.7,3142.7,4016.9,5094.4,6111.9,5700.5,5722.5,5984.3,5507.6,5046.9,5997.4,6316.0,6206.7,6793.1,6224.9,4981.1,4813.8,4865.3,5178.6,5432.7,5443.2,5452.3,5750.9,6216.9,6725.2,6880.0,7003.0,6961.6,7003.9,7111.9,7440.7,7770.4,7644.0,7578.9,7829.6,7887.4,8000.8,8398.4,9263.5,9845.6,9989.7
"AU",7.0,9.0,21.0,39.0,45.0,176.0,315.0,337.0,424.0,420.0,451.0,461.0,490.0,490.0,491.0,460.0,449.0,443.0,431.0,568.0,660.0,593.0,628.0,597.0,567.0,651.0,618.0,609.0,572.0,614.0,583.0,619.0,669.0,644.0,625.0,809.0,733.0,731.0,624.0,541.0,554.0,544.0
"BN",80.0,96.0,104.0,122.0,124.0,136.0,129.0,182.0,231.0,198.0,187.0,217.0,227.0,240.0,261.0,240.0,175.0,179.0,179.0,172.0,168.0,165.0,155.0,150.0,150.0,152.0,164.0,182.0,175.0,179.0,175.0,165.0,163.0,157.0,182.0,193.0,203.0,210.0,214.0,210.4,206.0,220.7
"CN",226.8,291.8,278.4,319.8,436.0,614.7,790.4,913.4,1075.1,1300.6,1545.4,1743.2,1877.9,2086.7,2128.8,2119.0,2029.9,2048.0,2127.2,2292.2,2504.8,2621.0,2690.2,2741.0,2760.3,2773.8,2827.5,2840.8,2888.5,2929.6,2988.6,3170.4,3211.4,3212.4,3213.2,3252.4,3305.6,3346.5,3401.0,3481.0,3626.7,3683.6
"IN",62.3,95.9,116.9,120.4,138.7,140.5,148.2,151.7,148.5,154.5,170.9,178.1,210.1,232.5,264.9,193.4,309.5,411.8,525.4,583.0,626.9,662.3,645.5,682.6,733.4,731.6,702.7,642.6,619.8,708.3,804.1,778.3,799.5,787.2,788.0,779.7,779.8,800.8,797.8,815.6,783.5,806.6
"ID",486.0,474.0,510.0,599.0,642.0,854.0,892.0,1081.0,1338.0,1375.0,1306.0,1504.0,1685.0,1635.0,1590.0,1577.0,1602.0,1337.0,1419.0,1505.0,1342.0,1429.0,1420.0,1373.0,1481.0,1539.0,1669.0,1579.0,1588.0,1589.0,1578.0,1580.0,1557.0,1520.0,1408.0,1456.0,1389.0,1288.0,1183.0,1152.0,1129.0,1071.3
"MY",1.0,1.0,1.0,4.0,9.0,18.0,69.0,93.0,91.0,81.0,98.0,167.0,183.0,216.0,282.0,276.0,259.0,304.0,385.0,456.0,455.0,509.0,505.0,551.0,600.0,634.0,660.0,670.0,662.0,674.0,775.0,773.0,777.0,779.0,737.0,734.5,719.0,757.0,776.4,792.7,767.0,747.2
"TH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5.9,13.3,23.8,48.5,50.4,47.0,53.4,50.6,62.4,74.9,91.5,96.2,95.8,91.6,105.1,126.2,129.5,140.5,175.7,191.3,203.9,236.4,223.4,265.0,285.5
"VN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,14.0,30.2,54.7,80.3,111.0,127.7,143.9,155.1,178.9,204.8,245.3,296.0,327.5,350.0,354.4,363.6,427.2,398.4,367.0
"MZM_10",35.1,34.1,31.1,35.1,36.4,39.6,42.6,44.5,47.3,47.5,47.8,62.5,73.1,72.8,92.6,77.4,78.1,85.5,90.5,101.9,122.7,125.6,119.7,124.2,133.9,144.2,147.2,204.0,276.1,258.4,229.8,245.3,228.8,217.4,218.4,200.4,194.7,192.5,195.0,185.7,196.7,215.2
"MZM_11",898.3,1001.8,1062.4,1239.3,1431.1,1978.7,2386.1,2802.6,3354.9,3576.6,3806.1,4332.9,4746.2,4973.0,5110.3,4942.8,4904.1,4814.2,5170.5,5701.8,5928.0,6155.3,6216.0,6286.2,6506.5,6742.7,6943.6,6929.9,7005.3,7192.0,7380.1,7615.0,7736.6,7691.8,7608.0,7928.3,7865.6,7884.2,7791.1,7829.0,7926.3,7941.1
"MZM_12",31803.0,34568.4,37118.0,40435.8,43632.9,48061.3,50843.6,53666.2,58463.7,58616.7,55824.8,60410.6,62712.3,63330.2,66047.9,62945.6,59532.5,57295.5,56595.5,57682.6,57468.5,60463.4,60784.3,63157.4,64049.2,65469.6,65286.8,65795.0,66051.0,67121.5,68124.8,69931.1,72251.2,73625.9,72438.5,75032.8,74931.9,74495.8,77056.1,80243.5,81250.3,81663.3
"MZM_13",433.3,423.7,421.6,419.2,416.8,408.9,384.1,370.7,371.5,380.4,404.4,616.4,1145.5,1470.2,1966.9,2016.7,2209.2,2554.4,2871.0,3106.9,3188.1,3213.7,3164.0,2981.4,2504.3,2489.0,2497.4,2557.0,2686.4,3283.4,3341.5,3325.1,3303.5,3407.0,3542.4,3354.5,3147.5,3203.1,2995.5,2773.9,2535.0,2306.3
"MZM_14",703.7,702.8,710.5,708.4,704.5,699.4,682.5,674.1,679.3,691.4,718.2,931.4,1460.6,1768.7,2237.6,2274.1,2468.8,2816.0,3126.5,3358.6,3425.8,3439.0,3376.3,3188.4,2707.4,2659.3,2644.5,2699.8,2831.6,3429.5,3487.2,3468.2,3444.8,3544.3,3676.4,3486.3,3278.3,3330.8,3119.2,2893.4,2649.2,2411.5
"MZM_15",10778.9,11444.0,12239.5,12758.7,13134.4,13919.5,14007.7,14339.1,14495.1,14022.4,13669.6,13657.5,14558.5,15594.4,16520.6,17135.4,17585.2,18395.1,18873.9,19727.9,20060.2,19597.4,19669.9,19514.8,18760.5,18837.4,19398.3,19573.5,19669.3,20525.4,20734.2,21354.7,21659.7,21491.8,21095.2,21514.3,21296.6,21422.4,21156.5,20716.4,19824.7,19398.3
"MZM_16",14386.4,15835.6,16874.0,18828.9,20830.9,23509.3,25473.6,27253.1,30895.5,30691.9,27167.8,30752.6,31340.8,29976.8,31238.3,27248.7,23139.0,19749.4,17943.7,17574.9,16694.6,19364.9,19239.8,21290.5,22915.2,24629.4,24768.1,26128.9,26912.8,27424.5,27671.9,28472.1,29952.6,31206.7,29999.5,31512.1,30856.5,29030.5,30884.2,33175.3,34067.6,34201.7
"MZM_17",14399.7,15848.4,16884.9,18844.1,20880.8,23612.1,25589.7,27395.9,31061.4,30865.3,27326.0,30905.7,31484.2,30108.1,31384.5,27399.1,23284.3,19879.6,18122.1,17778.9,16927.1,19647.6,19595.2,21742.4,23374.8,25104.1,25265.8,26678.7,27416.5,27981.2,28304.7,29188.1,30693.6,31937.6,30744.5,32258.2,31598.5,29936.0,31746.2,34151.0,35300.7,35610.6
"MZM_18",12558.8,13430.8,14482.0,15439.8,16235.9,17425.3,17759.6,18349.0,18903.8,18654.4,18740.9,19192.4,20361.6,21822.6,23004.2,23580.5,24133.2,25216.3,26248.3,27811.0,28733.6,28656.5,28889.3,29265.9,28835.7,29274.6,30045.1,30515.5,30943.9,32306.0,33155.8,34287.9,34924.7,35027.9,34886.6,35506.6,35415.2,35932.6,35673.3,35660.8,35342.6,35162.4
"MZM_19",4857.8,5302.0,5762.0,6167.1,6566.0,7126.7,7610.5,8064.1,8664.4,9270.4,9916.0,10465.6,11009.9,11530.8,11805.4,12116.4,12260.3,12329.8,12403.4,12296.7,12040.3,12442.1,12655.2,12600.9,12298.3,11565.6,10473.6,9150.6,8194.2,7391.1,7297.2,7171.1,7373.9,7391.3,7552.4,8014.0,8660.2,9532.7,10498.7,11407.5,11840.1,12299.2
