title         = ASCII CSV version of worksheet 23, "Natural Gas: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_gas_consumption_f3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.41,0.176,0.0,"na",0.0,0.0,0.0,3.805,11.247,15.548,0.0,0.0,47.433,11.282,0.077,0.0,0.097,0.563,15.087,0.986,44.872,1.375,62.981,0.0,"na",2.201,0.0,0.061,0.106,0.09,0.0,0.282,0.0,0.075,0.0,0.0,0.0,0.0,0.536,0.079,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.706,0.782,0.169,0.0,0.127,"na","na",0.809,0.0,0.138,0.0,0.0,0.0,0.0,0.171,0.158,0.0,0.0,1.476,"na",0.061,0.0,0.0,0.0,0.0,"na",0.0,0.113,0.0,"na",41.862,"na",0.655,0.0,0.0
1966,0.0,0.444,0.189,0.0,"na",0.0,0.0,0.0,4.323,12.547,17.207,0.0,0.0,51.307,12.589,0.093,0.0,0.109,0.626,16.913,1.06,48.336,1.47,68.514,0.0,"na",2.41,0.0,0.064,0.13,0.094,0.0,0.339,0.0,0.078,0.0,0.0,0.0,0.0,0.566,0.078,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.74,0.879,0.173,0.0,0.137,"na","na",0.852,0.0,0.265,0.0,0.0,0.0,0.0,0.193,0.188,0.0,0.0,1.591,"na",0.074,0.0,0.0,0.0,0.0,"na",0.0,0.133,0.0,"na",45.075,"na",0.687,0.0,0.0
1967,0.0,0.465,0.181,0.0,"na",0.0,0.0,0.0,5.106,13.814,18.961,0.0,0.0,54.502,13.863,0.087,0.0,0.107,0.709,18.969,1.164,50.93,1.584,73.463,0.0,"na",2.559,0.0,0.057,0.141,0.116,0.0,0.436,0.0,0.075,0.0,0.0,0.0,0.0,0.64,0.13,0.0,0.0,0.179,0.06,0.0,0.0,0.0,0.776,0.932,0.179,0.0,0.147,"na","na",0.732,0.0,0.466,0.0,0.0,0.0,0.0,0.226,0.23,0.0,0.0,1.755,"na",0.089,0.0,0.0,0.0,0.0,"na",0.0,0.146,0.0,"na",47.639,"na",0.753,0.0,0.0
1968,0.058,0.516,0.192,0.0,"na",0.0,0.0,0.113,6.437,14.875,20.399,0.0,0.0,59.336,14.936,0.094,0.0,0.108,0.771,21.373,1.29,54.531,1.662,79.735,0.0,"na",2.842,0.0,0.0,0.135,0.118,0.051,0.715,0.0,0.079,0.0,0.0,0.0,0.0,0.76,0.294,0.0,0.0,0.23,0.061,0.0,0.0,0.0,0.811,1.04,0.194,0.0,0.158,"na","na",0.782,0.0,0.784,0.0,0.0,0.0,0.0,0.252,0.315,0.0,0.0,1.851,"na",0.106,0.0,0.0,0.05,0.0,"na",0.0,0.153,0.0,"na",50.907,"na",0.775,0.0,0.0
1969,0.057,0.515,0.234,0.0,"na",0.0,0.0,0.234,8.388,15.94,22.177,0.0,0.0,65.627,16.016,0.129,0.0,0.129,1.018,24.404,1.434,59.103,1.715,87.804,0.0,"na",3.184,0.0,0.064,0.19,0.129,0.064,1.021,0.0,0.104,0.0,0.0,0.0,0.0,0.917,0.574,0.0,0.0,0.275,0.115,0.0,0.0,0.0,0.853,1.199,0.216,0.0,0.17,"na","na",0.97,0.0,1.159,0.0,0.0,0.0,0.0,0.312,0.438,0.0,0.082,2.156,"na",0.128,0.0,0.0,0.064,0.0,"na",0.0,0.154,0.057,"na",54.949,"na",0.8,0.0,0.0
1970,0.081,0.582,0.284,0.168,"na",0.0,0.0,0.367,10.448,17.515,24.218,0.055,0.053,71.183,17.617,0.141,0.0,0.161,1.415,28.067,1.58,62.424,1.754,95.401,0.0,"na",3.518,0.0,0.064,0.278,0.126,0.082,1.452,0.0,0.098,0.0,0.0,0.0,0.0,0.996,1.093,0.0,0.0,0.294,0.12,0.0,0.0,0.064,0.894,1.32,0.33,0.0,0.197,"na","na",0.99,0.0,1.631,0.0,0.0,0.0,0.0,0.337,0.559,0.0,0.097,2.241,"na",0.156,0.0,0.0,0.081,0.0,"na",0.0,0.177,0.054,"na",57.916,"na",0.746,0.0,0.0
1971,0.129,0.629,0.326,0.251,"na",0.0,0.0,0.507,12.766,19.145,26.311,0.058,0.051,75.538,19.266,0.166,0.0,0.177,1.673,32.041,1.676,64.489,1.794,101.85,0.0,"na",3.755,0.0,0.065,0.362,0.134,0.093,1.919,0.0,0.111,0.0,0.0,0.0,0.0,1.197,1.763,0.0,0.0,0.313,0.121,0.0,0.0,0.067,0.937,1.348,0.354,0.0,0.204,"na","na",1.026,0.0,2.131,0.0,0.0,0.0,0.0,0.336,0.615,0.0,0.097,2.396,"na",0.131,0.0,0.0,0.092,0.0,"na",0.0,0.172,0.108,"na",59.708,"na",0.723,0.0,0.0
1972,0.133,0.704,0.352,0.36,"na",0.0,0.0,0.637,15.209,20.082,27.658,0.102,0.0,79.279,20.24,0.183,0.0,0.237,1.931,35.449,1.728,65.693,1.9,106.937,0.0,"na",4.212,0.0,0.059,0.467,0.161,0.103,2.478,0.0,0.129,0.0,0.0,0.112,0.0,1.418,2.495,0.0,0.0,0.329,0.119,0.0,0.0,0.074,0.906,1.319,0.353,0.0,0.24,"na","na",1.094,0.0,2.765,0.0,0.0,0.0,0.0,0.311,0.645,0.0,0.106,2.425,"na",0.148,0.0,0.0,0.102,0.0,"na",0.0,0.178,0.126,"na",60.386,"na",0.717,0.0,0.0
1973,0.167,0.803,0.387,0.458,"na",0.056,0.0,0.768,17.39,21.899,30.501,0.166,0.105,81.966,22.082,0.238,0.0,0.351,2.383,39.465,2.005,66.116,2.147,112.467,0.0,"na",4.492,0.0,0.0,0.579,0.161,0.111,3.204,0.0,0.18,0.0,0.0,0.108,0.0,1.688,2.707,0.0,0.0,0.392,0.077,0.0,0.0,0.074,0.998,1.548,0.493,0.0,0.27,"na","na",1.215,0.0,3.083,0.0,0.0,0.0,0.0,0.355,0.673,0.0,0.153,2.57,"na",0.174,0.0,0.0,0.111,0.0,"na",0.0,0.171,0.146,"na",60.409,"na",0.885,0.0,0.0
1974,0.174,0.85,0.42,0.522,"na",0.062,0.0,0.9,19.665,23.221,32.743,0.178,0.175,82.253,23.426,0.266,0.0,0.391,2.953,43.095,2.333,63.964,2.259,114.996,0.0,"na",4.54,0.0,0.0,0.729,0.163,0.136,4.008,0.0,0.208,0.0,0.0,0.135,0.0,1.849,3.237,0.0,0.0,0.411,0.109,0.0,0.0,0.083,1.257,1.695,0.674,0.0,0.284,"na","na",1.279,0.0,3.282,0.0,0.0,0.0,0.0,0.393,0.691,0.0,0.126,2.652,"na",0.22,0.0,0.0,0.135,0.0,"na",0.0,0.156,0.153,"na",58.146,"na",0.935,0.0,0.0
1975,0.161,0.871,0.419,0.561,"na",0.062,0.104,0.889,20.851,25.336,35.736,0.228,0.149,78.897,25.557,0.32,0.0,0.519,3.447,46.427,2.463,59.516,2.261,114.633,0.0,"na",4.689,0.056,0.055,0.856,0.157,0.148,4.229,0.0,0.286,0.0,0.0,0.14,0.07,1.828,3.392,0.0,0.0,0.469,0.225,0.0,0.0,0.107,1.19,1.935,0.807,0.0,0.311,"na","na",1.3,0.053,3.421,0.0,0.0,0.057,0.0,0.441,0.74,0.0,0.214,2.882,"na",0.262,0.0,0.0,0.147,0.0,"na",0.0,0.142,0.152,"na",53.528,"na",0.91,0.0,0.0
1976,0.187,0.977,0.476,0.661,"na",0.082,0.182,0.937,22.74,27.805,39.317,0.229,0.15,81.715,28.044,0.382,0.0,0.604,3.958,50.8,2.557,60.489,2.625,121.032,0.0,"na",4.717,0.058,0.06,0.975,0.164,0.172,4.464,0.0,0.338,0.0,0.0,0.16,0.082,2.037,3.588,0.0,0.0,0.572,0.227,0.0,0.0,0.129,1.184,2.356,0.965,0.0,0.373,"na","na",1.273,0.062,3.544,0.0,0.087,0.062,0.0,0.449,0.788,0.0,0.143,3.168,"na",0.282,0.0,0.0,0.171,0.0,"na",0.0,0.159,0.174,"na",54.499,"na",1.125,0.0,0.0
1977,0.327,1.024,0.487,0.757,"na",0.091,0.233,0.924,23.825,29.875,42.645,0.273,0.16,82.268,30.128,0.34,0.0,0.678,4.892,54.012,2.697,59.79,2.844,124.913,0.057,"na",4.961,0.066,0.062,1.173,0.19,0.218,4.754,0.0,0.361,0.0,0.0,0.154,0.078,2.193,3.824,0.0,0.0,0.608,0.484,0.0,0.0,0.139,1.063,2.321,1.181,0.0,0.408,"na","na",1.347,0.09,3.567,0.0,0.143,0.061,0.0,0.492,0.838,0.0,0.156,3.365,"na",0.398,0.0,0.0,0.217,0.0,"na",0.0,0.188,0.184,"na",53.481,"na",1.231,0.0,0.0
1978,0.388,0.996,0.506,0.815,"na",0.101,0.249,0.916,24.785,31.858,45.625,0.321,0.12,84.339,32.141,0.394,0.0,0.972,5.653,57.012,2.916,60.477,2.934,129.963,0.075,"na",5.009,0.073,0.057,1.328,0.243,0.246,5.096,0.0,0.58,0.0,0.072,0.158,0.091,2.247,3.967,0.0,0.0,0.663,0.559,0.0,0.0,0.155,0.979,2.419,1.658,0.0,0.457,"na","na",1.694,0.098,3.575,0.062,0.134,0.064,0.0,0.505,0.882,0.0,0.143,3.478,"na",0.549,0.0,0.0,0.244,0.0,"na",0.0,0.224,0.181,"na",53.774,"na",1.242,0.0,0.0
1979,0.422,1.024,0.502,0.938,"na",0.116,0.266,1.001,26.127,33.819,49.619,0.561,0.156,88.323,34.144,0.493,0.0,1.489,6.433,60.373,3.87,62.597,3.181,137.942,0.082,"na",5.085,0.082,0.068,1.404,0.277,0.279,5.633,0.0,0.819,0.0,0.108,0.153,0.091,2.505,4.346,0.0,0.0,0.703,0.722,0.0,0.0,0.193,1.25,2.462,1.967,0.0,0.605,"na","na",2.058,0.106,3.558,0.071,0.088,0.059,0.0,0.569,0.92,0.0,0.422,3.352,"na",0.674,0.0,0.0,0.277,0.0,"na",0.0,0.245,0.175,"na",55.454,"na",1.392,0.0,0.0
1980,0.475,1.113,0.481,1.074,"na",0.13,0.341,0.955,26.142,34.76,50.951,0.554,0.188,87.615,35.131,0.42,0.0,1.886,6.943,61.396,3.396,61.57,3.376,138.566,0.095,"na",5.04,0.093,0.069,1.377,0.306,0.354,5.538,0.0,1.097,0.0,0.21,0.195,0.085,2.53,4.321,0.0,0.0,0.751,0.678,0.081,0.0,0.114,0.667,2.455,2.321,0.0,0.393,"na","na",2.221,0.106,3.244,0.076,0.082,0.064,0.0,0.693,0.94,0.0,0.503,3.471,"na",0.938,0.0,0.0,0.352,0.0,"na",0.0,0.266,0.18,"na",54.31,"na",1.429,0.0,0.0
1981,0.601,1.166,0.46,1.167,"na",0.157,0.372,0.884,26.036,36.91,53.992,0.62,0.211,86.345,37.269,0.352,0.0,2.31,7.146,63.464,3.458,60.476,3.484,140.337,0.086,"na",4.903,0.101,0.069,1.233,0.328,0.336,5.31,0.0,1.43,0.0,0.236,0.223,0.068,2.634,4.392,0.0,0.0,0.772,0.679,0.122,0.0,0.199,0.551,2.451,2.332,0.0,0.453,"na","na",2.412,0.129,3.097,0.093,0.101,0.073,0.0,0.758,0.89,0.0,0.403,3.658,"na",1.097,0.0,0.0,0.334,0.0,"na",0.0,0.28,0.154,"na",53.161,"na",1.44,0.0,0.0
1982,0.631,1.325,0.445,1.138,"na",0.187,0.412,0.737,25.428,39.844,58.179,0.586,0.218,82.432,40.278,0.487,0.0,2.488,7.415,65.887,3.813,57.142,3.866,140.611,0.123,"na",5.193,0.106,0.071,1.154,0.346,0.349,4.927,0.0,1.623,0.0,0.258,0.244,0.067,2.58,4.37,0.0,0.0,0.807,0.645,0.179,0.0,0.261,0.697,2.368,2.389,0.0,0.356,"na","na",2.631,0.153,2.958,0.101,0.182,0.077,0.0,0.826,0.889,0.0,0.476,3.72,"na",1.163,0.0,0.0,0.347,0.13,"na",0.0,0.343,0.131,"na",49.318,"na",1.537,0.0,0.0
1983,0.576,1.424,0.454,1.236,"na",0.211,0.432,0.765,25.991,42.723,62.308,0.635,0.244,79.948,43.186,0.505,0.0,2.739,8.189,69.383,4.137,53.774,4.035,142.257,0.166,"na",4.952,0.117,0.077,1.181,0.372,0.357,5.122,0.0,1.776,0.0,0.303,0.264,0.062,2.387,4.555,0.0,0.0,0.807,0.866,0.194,0.0,0.31,1.064,2.43,2.57,0.0,0.39,"na","na",2.699,0.263,3.163,0.114,0.197,0.051,0.0,0.815,0.909,0.0,0.46,3.704,"na",1.135,0.0,0.0,0.355,0.153,"na",0.0,0.382,0.136,"na",46.123,"na",1.513,0.0,0.0
1984,0.789,1.512,0.504,1.216,"na",0.246,0.453,0.788,27.203,46.49,68.083,0.649,0.248,85.562,47.004,0.558,0.0,2.618,9.607,74.419,5.406,57.252,4.343,153.645,0.192,"na",5.481,0.13,0.078,1.199,0.374,0.4,5.335,0.0,1.556,0.0,0.388,0.216,0.07,2.517,4.648,0.0,0.0,0.81,1.008,0.204,0.0,0.354,1.303,2.837,3.448,0.0,0.422,"na","na",2.726,0.433,3.351,0.109,0.252,0.068,0.0,0.834,0.944,0.0,0.572,3.68,"na",1.756,0.0,0.0,0.397,0.228,"na",0.0,0.398,0.136,"na",49.045,"na",1.669,0.0,0.0
1985,0.979,1.549,0.542,1.303,1.277,0.275,0.496,0.794,28.642,51.08,73.794,0.759,0.28,85.507,2.063,0.702,0.0,2.805,10.669,79.791,5.857,55.738,4.441,159.301,0.242,0.868,5.61,0.136,0.078,1.251,0.389,0.399,5.287,0.062,1.546,0.0,0.477,0.229,0.09,2.501,5.012,0.0,0.0,0.926,1.196,0.211,0.0,0.435,1.413,2.926,3.703,0.0,0.406,0.81,0.405,2.784,0.625,3.542,0.115,0.322,0.053,0.0,0.853,0.96,0.0,0.532,3.431,33.904,1.819,0.0,0.0,0.455,0.3,0.811,0.0,0.398,0.122,8.429,47.345,3.088,1.676,0.0,0.0
1986,1.189,1.674,0.526,1.424,1.418,0.313,0.493,0.713,29.154,52.679,78.042,0.885,0.294,83.022,2.102,0.82,0.0,3.152,11.585,81.972,7.036,52.511,4.808,161.064,0.282,0.884,5.595,0.14,0.072,1.331,0.399,0.435,5.272,0.111,1.693,0.0,0.55,0.27,0.11,2.603,5.096,0.0,0.0,0.978,1.29,0.149,0.0,0.607,1.471,3.104,3.768,0.0,0.554,0.981,0.406,2.474,0.783,3.533,0.127,0.388,0.057,0.0,0.915,1.017,0.0,0.559,3.493,34.297,2.438,0.0,0.0,0.459,0.35,1.313,0.0,0.42,0.112,8.896,44.442,2.977,1.846,0.0,0.0
1987,1.356,1.675,0.549,1.453,1.401,0.37,0.549,0.786,30.584,55.253,81.484,0.884,0.298,87.601,2.301,0.839,0.051,3.246,12.26,86.056,7.364,55.337,4.822,169.085,0.315,0.998,5.672,0.15,0.069,1.344,0.405,0.471,5.716,0.141,1.732,0.0,0.608,0.289,0.145,2.688,5.233,0.0,0.0,0.975,1.334,0.148,0.0,0.699,1.548,3.459,3.864,0.204,0.462,1.024,0.424,2.513,0.732,3.645,0.14,0.376,0.056,0.0,0.98,1.05,0.0,0.56,3.43,36.276,2.593,0.0,0.0,0.464,0.489,1.305,0.051,0.436,0.113,9.089,47.153,3.117,1.798,0.0,0.0
